voicemail_dataset
text,label,
Reminder: Your car warranty is about to expire. Call us now!,spam,
Hi this is Mom. Just checking if you need anything from the store.,legitimate,
Exclusive deal! Get a new credit card with zero interest today.,spam,
Hey John are we still on for the Zoom call at 3 PM?,legitimate,
Congratulations! You’ve been selected for a free shopping voucher.,spam,
Hi Sarah don’t forget to bring your laptop for class tomorrow.,legitimate,
You have an unpaid bill. Immediate payment required!,spam,
Good morning just wanted to wish you a happy birthday!,legitimate,
Claim your free airline miles now. Limited time offer!,spam,
Can you please send me the meeting notes when you get a chance?,legitimate,
Act fast! This offer expires tonight. Get rich quick!,spam,
Hi buddy just landed safely. Call me when you’re free.,legitimate,
Urgent! Your account has been locked. Verify immediately.,spam,
Don’t forget we’re having dinner at 7 PM tonight.,legitimate,
Limited seats available! Enroll in this course and become a millionaire.,spam,
Hey thanks for helping me move yesterday. Really appreciate it.,legitimate,
Win a free iPhone today! Click the link to claim.,spam,
Hi Dad just letting you know I’ll be home late.,legitimate,
You’ve been chosen for a free cruise. Don’t miss out!,spam,
Good luck on your exam tomorrow! You’ve got this.,legitimate,
Get instant cash now with no credit check. Apply today!,spam,
 it’s the dentist’s office. Just a reminder of your appointment tomorrow.,legitimate,
Earn passive income from home. Start today!,spam,
Let’s meet at Starbucks around 5. Does that work?,legitimate,
Congratulations! You are the lucky winner of $10,spam,
Grandma just wanted to say she misses you.,legitimate,
Click here to double your money instantly. Hurry!,spam,
Hi Sam your package was delivered this afternoon.,legitimate,
You won’t believe this! 100% guaranteed investment returns.,spam,
Don’t forget to bring the project file to class tomorrow.,legitimate,
Final notice! Pay your balance now or face penalties.,spam,
Thanks for the gift card! It really made my day.,legitimate,
Limited time loan approval with zero documentation.,spam,
Hi Alex  do you want to go for a run later?,legitimate,
Claim your free vacation package today!,spam,
"Hello, it was nice seeing you yesterday.",legitimate,
Special deal: Buy one get two free!,spam,
Happy anniversary! Hope you’re having a great day.,legitimate,
You’ve been pre-approved for a $5000 loan.,Spam,
Can you cover my shift tomorrow? I owe you one.,legitimate,
Exclusive opportunity! Become a millionaire in 30 days.,spam,
Let’s meet at the library after class.,legitimate,
Urgent: Your SSN has been compromised. Call now.,spam,
Good job on your presentation today!,legitimate,
Win cash prizes instantly. Don’t wait!,spam,
Hey bro game night at my place this Friday.,legitimate,
100% free health insurance coverage. Sign up now.,spam,
Just confirming the time for our lunch tomorrow.,spam,
Congratulations you’ve been randomly chosen for a reward!,Spam,
Thanks for helping with the groceries earlier.,legitimate,
Act now: free stocks available for limited users.,spam,
Are you free to talk later this evening?,legitimate,
This is your last chance to claim a free laptop.,spam,
Meeting moved to 10 AM tomorrow. Please be on time.,legitimate,
Increase your credit score instantly. Enroll today.,spam,
Don’t forget to water the plants while I’m away.,legitimate,
Urgent loan approval pending. Call today!,spam,
I’ll text you once I arrive at the station.,legitimate,
Your free trial is ending. Upgrade now to continue.,spam,
Just landed at O’Hare. See you soon.,legitimate,
Click now for instant weight loss results.,spam,
Thanks for stopping by the office earlier.,legitimate,
Hurry! Get a free membership before it expires.,spam,
I’ll see you in class tomorrow morning.,legitimate,
Congratulations you won a $500 Amazon gift card.,spam,
Happy holidays! Hope you’re enjoying the break.,legitimate,
Immediate action required! Verify your bank account.,spam,
Can you pick up some milk on your way home?,legitimate,
You’ve been approved for a gold membership. Act now!,spam,
Good luck at your job interview tomorrow!,legitimate,
Don’t miss out! 50% discount ends tonight.,spam,
Thanks for letting me borrow your notes.,legitimate,
Your number was selected for a cash prize!,spam,
I’ll send you the recipe later today.,legitimate,
Act fast: Claim your free Bitcoin reward.,spam,
Dinner’s ready. Come downstairs when you can.,legitimate,
Exclusive rewards await you. Click to join!,spam,
Don’t forget your umbrella. It might rain today.,legitimate,
You’ve won a lifetime subscription for free!,spam,
Hey man great seeing you yesterday!,legitimate,
Unbelievable offer: Double your salary today.,spam,
Looking forward to our call tomorrow.,legitimate,
Get rich quick! Guaranteed success system.,spam,
Happy Mother’s Day! Love you.,legitimate,
Urgent: Update your payment info immediately.,spam,
Can you send me the report by tomorrow?,legitimate,
Congratulations you’ve been approved for free fuel!,spam,
Just checking in. How’s your day going?,legitimate,
Earn unlimited money with this simple trick.,spam,
The teacher emailed me the homework. Want me to forward it?,legitimate,
Win a free smartwatch today!,spam,
See you at the gym later this afternoon.,legitimate,
Claim your free health check now.,spam,
Meeting postponed to next week. Sorry for the delay.,legitimate,
Get exclusive VIP benefits today only!,spam,
Hey just landed safely. Call soon.,legitimate,
Special alert! Free vacation credit.,spam,
Thanks again for the ride yesterday.,legitimate,
You’ve been selected for a special loan offer.,spam,
Good night. Sleep well.,legitimate,
